station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,add,lon,lat,open_ymd,close_ymd,e_status,e_sort
1131317,1131204,水道橋,,,11313,13,101-0061,千代田区三崎町２丁目,139.754312,35.702039,,,0,1131317
1131318,1131203,御茶ノ水,,,11313,13,101-0062,千代田区神田駿河台２丁目,139.764955,35.699605,,,0,1131318
1131319,1130222,秋葉原,,,11313,13,101-0021,東京都千代田区外神田一丁目17-6,139.773288,35.698619,,,0,1131319
1131320,1131320,浅草橋,,,11313,13,111-0053,台東区浅草橋１丁目,139.784427,35.697403,,,0,1131320
1131321,1131321,両国,,,11313,13,130-0015,墨田区横網１丁目,139.793334,35.69579,,,0,1131321
1131322,1131322,錦糸町,,,11313,13,130-0022,墨田区江東橋３丁目,139.814136,35.696802,,,0,1131322
1131323,1131323,亀戸,,,11313,13,136-0071,江東区亀戸５丁目,139.826262,35.697345,,,0,1131323
1131324,1131324,平井,,,11313,13,132-0035,江戸川区平井３丁目,139.842181,35.70643,,,0,1131324
1131325,1131325,新小岩,,,11313,13,124-0024,葛飾区新小岩１丁目,139.857777,35.716903,,,0,1131325
1131326,1131326,小岩,,,11313,13,133-0056,江戸川区南小岩７丁目,139.881755,35.733207,,,0,1131326
1131327,1131327,市川,,,11313,12,272-0034,市川市市川１丁目,139.908142,35.728903,,,0,1131327
1131328,1131328,本八幡,,,11313,12,272-0021,市川市八幡２丁目,139.92741,35.720898,,,0,1131328
1131329,1131329,下総中山,,,11313,12,273-0035,船橋市本中山２丁目,139.943092,35.714276,,,0,1131329
1131330,1130524,西船橋,,,11313,12,273-0031,船橋市西船４丁目,139.959536,35.707283,,,0,1131330
1131331,1131331,船橋,,,11313,12,273-0005,船橋市本町７丁目,139.984707,35.701865,,,0,1131331
1131332,1131332,東船橋,,,11313,12,273-0002,船橋市東船橋２丁目,140.00393,35.699811,,,0,1131332
1131333,1131333,津田沼,,,11313,12,275-0016,習志野市津田沼１丁目,140.020179,35.691367,,,0,1131333
1131334,1131334,幕張本郷,,,11313,12,262-0033,千葉市花見川区幕張本郷１丁目,140.042241,35.672664,1981-10-01,,0,1131334
1131335,1131335,幕張,,,11313,12,262-0032,千葉市花見川区幕張町５丁目,140.057899,35.6594,,,0,1131335
1131336,1131336,新検見川,,,11313,12,262-0022,千葉市花見川区南花園,140.073025,35.65169,,,0,1131336
1131337,1131337,稲毛,,,11313,12,263-0031,千葉市稲毛区稲毛東３丁目,140.09256,35.637264,,,0,1131337
1131338,1131338,西千葉,,,11313,12,260-0033,千葉市中央区春日２丁目,140.103337,35.622639,,,0,1131338
1131339,1131339,千葉,,,11313,12,260-0031,千葉市中央区新千葉１丁目,140.112837,35.613425,,,0,1131339
1131401,1130101,東京,,,11314,13,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391,,,0,1131401
1131402,1131402,新日本橋,,,11314,13,103-0022,中央区日本橋室町４丁目,139.77323,35.688687,,,0,1131402
1131403,1131403,馬喰町,,,11314,13,103-0002,中央区日本橋馬喰町１丁目,139.78238,35.693365,,,0,1131403
1131404,1131322,錦糸町,,,11314,13,130-0022,墨田区江東橋３丁目,139.814136,35.696802,,,0,1131404
1131405,1131325,新小岩,,,11314,13,124-0024,葛飾区新小岩１丁目,139.857777,35.716903,,,0,1131405
1131406,1131327,市川,,,11314,12,272-0034,市川市市川１丁目,139.908142,35.728903,,,0,1131406
1131407,1131331,船橋,,,11314,12,273-0005,船橋市本町７丁目,139.984707,35.701865,,,0,1131407
1131408,1131333,津田沼,,,11314,12,275-0016,習志野市津田沼１丁目,140.020179,35.691367,,,0,1131408
1131409,1131337,稲毛,,,11314,12,263-0031,千葉市稲毛区稲毛東３丁目,140.09256,35.637264,,,0,1131409
1131410,1131339,千葉,,,11314,12,260-0031,千葉市中央区新千葉１丁目,140.112837,35.613425,,,0,1131410
1131411,1131411,東千葉,,,11314,12,260-0017,千葉市中央区要町１丁目,140.122261,35.617014,,,0,1131411
1131412,1131412,都賀,,,11314,12,264-0025,千葉市若葉区都賀３丁目,140.149222,35.636088,,,0,1131412
1131413,1131413,四街道,,,11314,12,284-0005,四街道市四街道１丁目,140.165023,35.662756,,,0,1131413
1131414,1131414,物井,,,11314,12,284-0012,四街道市物井,140.200263,35.68566,,,0,1131414
1131415,1131415,佐倉,,,11314,12,285-0812,佐倉市六崎,140.226722,35.709743,,,0,1131415
1131416,1131416,南酒々井,,,11314,12,285-0914,印旛郡酒々井町馬橋,140.267828,35.704217,,,0,1131416
1131417,1131417,榎戸,,,11314,12,289-1106,八街市榎戸,140.288136,35.683967,,,0,1131417
1131418,1131418,八街,,,11314,12,289-1115,八街市八街ほ,140.317304,35.663228,,,0,1131418
1131419,1131419,日向,,,11314,12,289-1205,山武市椎崎,140.362447,35.628402,,,0,1131419
1131420,1131420,成東,,,11314,12,289-1345,山武市津辺,140.410109,35.608513,,,0,1131420
1131421,1131421,松尾,,,11314,12,289-1523,山武市松尾町五反田,140.457587,35.63604,,,0,1131421
1131422,1131422,横芝,,,11314,12,289-1732,山武郡横芝光町横芝,140.490736,35.661739,,,0,1131422
1131423,1131423,飯倉,,,11314,12,289-2147,匝瑳市飯倉,140.522328,35.685638,,,0,1131423
1131424,1131424,八日市場,,,11314,12,289-2144,匝瑳市八日市場イ,140.552419,35.699317,,,0,1131424
1131425,1131425,干潟,,,11314,12,289-2504,旭市ニ,140.603304,35.718308,,,0,1131425
1131426,1131426,旭,,,11314,12,289-2516,旭市ロ,140.655041,35.721831,,,0,1131426
1131427,1131427,飯岡,,,11314,12,289-2613,旭市後草,140.683896,35.729339,,,0,1131427
1131428,1131428,倉橋,,,11314,12,289-2611,旭市倉橋,140.714018,35.737836,,,0,1131428
1131429,1131429,猿田,,,11314,12,288-0855,銚子市猿田町,140.7374,35.747383,,,0,1131429
1131430,1131430,松岸,,,11314,12,288-0837,銚子市長塚町,140.795143,35.739386,,,0,1131430
1131431,1131431,銚子,,,11314,12,288-0044,銚子市西芝町１丁目,140.827557,35.729449,,,0,1131431
1131501,1130325,立川,,,11315,13,190-0012,東京都立川市曙町二丁目1-1,139.413704,35.698202,,,0,1131501
1131502,1131502,西立川,,,11315,13,190-0013,立川市富士見町１丁目,139.393556,35.703526,,,0,1131502
1131503,1131503,東中神,,,11315,13,196-0034,昭島市玉川町１丁目,139.384529,35.706337,,,0,1131503
1131504,1131504,中神,,,11315,13,196-0025,昭島市朝日町１丁目,139.375816,35.709058,,,0,1131504
1131505,1131505,昭島,,,11315,13,196-0015,昭島市昭和町２丁目,139.361564,35.713305,,,0,1131505
1131506,1131506,拝島,,,11315,13,196-0003,昭島市松原町４丁目,139.343468,35.721278,,,0,1131506
1131507,1131507,牛浜,,,11315,13,197-0024,福生市牛浜,139.333677,35.734547,,,0,1131507
1131508,1131508,福生,,,11315,13,197-0022,福生市本町,139.327763,35.742456,,,0,1131508
1131509,1131509,羽村,,,11315,13,205-0014,羽村市羽東１丁目,139.316188,35.758073,,,0,1131509
1131510,1131510,小作,,,11315,13,205-0001,羽村市小作台,139.302233,35.776048,,,0,1131510
1131511,1131511,河辺,,,11315,13,198-0036,青梅市河辺町５丁目,139.284032,35.78473,,,0,1131511
1131512,1131512,東青梅,,,11315,13,198-0042,青梅市東青梅１丁目,139.272841,35.789768,,,0,1131512
1131513,1131513,青梅,,,11315,13,198-0000,青梅市青梅,139.258096,35.790512,,,0,1131513
1131514,1131514,宮ノ平,,,11315,13,198-0046,青梅市日向和田２丁目,139.237289,35.787545,,,0,1131514
1131515,1131515,日向和田,,,11315,13,198-0046,青梅市日向和田３丁目,139.229515,35.788665,,,0,1131515
1131516,1131516,石神前,,,11315,13,198-0171,青梅市二俣尾１丁目,139.225096,35.79683,,,0,1131516
1131517,1131517,二俣尾,,,11315,13,198-0171,青梅市二俣尾４丁目,139.216161,35.803946,,,0,1131517
1131518,1131518,軍畑,,,11315,13,198-0172,青梅市沢井１丁目,139.207431,35.807382,,,0,1131518
1131519,1131519,沢井,,,11315,13,198-0172,青梅市沢井２丁目,139.193324,35.80594,,,0,1131519
1131520,1131520,御嶽,,,11315,13,198-0173,青梅市御岳本町,139.182589,35.801468,,,0,1131520
1131521,1131521,川井,,,11315,13,198-0102,西多摩郡奥多摩町川井,139.16429,35.813697,,,0,1131521
1131522,1131522,古里,,,11315,13,198-0105,西多摩郡奥多摩町小丹波,139.152102,35.816247,,,0,1131522
1131523,1131523,鳩ノ巣,,,11315,13,198-0106,西多摩郡奥多摩町棚沢,139.128932,35.815127,,,0,1131523
1131524,1131524,白丸,,,11315,13,198-0107,西多摩郡奥多摩町白丸,139.114861,35.811735,,,0,1131524
1131525,1131525,奥多摩,,,11315,13,198-0212,西多摩郡奥多摩町氷川,139.096961,35.809357,,,0,1131525
1131601,1131506,拝島,,,11316,13,196-0003,昭島市松原町４丁目,139.343468,35.721278,,,0,1131601
1131602,1131602,熊川,,,11316,13,197-0003,福生市熊川北,139.33584,35.728321,,,0,1131602
1131603,1131603,東秋留,,,11316,13,197-0823,あきる野市野辺,139.311665,35.725904,,,0,1131603
1131604,1131604,秋川,,,11316,13,197-0827,あきる野市油平,139.286715,35.727998,,,0,1131604
1131605,1131605,武蔵引田,,,11316,13,190-0100,あきる野市下引田,139.269907,35.729711,,,0,1131605
1131606,1131606,武蔵増戸,,,11316,13,190-0142,あきる野市伊奈,139.256355,35.730961,,,0,1131606
1131607,1131607,武蔵五日市,,,11316,13,190-0163,あきる野市舘谷,139.228039,35.732248,,,0,1131607
1131701,1130620,八王子,,,11317,13,192-0083,東京都八王子市旭町1-1,139.338998,35.655555,,,0,1131701
1131702,1131702,北八王子,,,11317,13,192-0032,八王子市石川町,139.363348,35.669232,,,0,1131702
1131703,1131703,小宮,,,11317,13,192-0031,八王子市小宮町,139.368481,35.685799,,,0,1131703
1131704,1131506,拝島,,,11317,13,196-0003,昭島市松原町４丁目,139.343468,35.721278,,,0,1131704
1131705,1131705,東福生,,,11317,13,197-0013,福生市武蔵野台１丁目,139.33594,35.745811,,,0,1131705
1131706,1131706,箱根ケ崎,,,11317,13,190-1221,東京都西多摩郡瑞穂町大字箱根ケ崎397,139.346805,35.771158,,,0,1131706
1131901,1130220,上野,,,11319,13,110-0005,東京都台東区上野七丁目1-1,139.777043,35.71379,,,0,1131901
1131902,1131902,尾久,,,11319,13,114-0011,北区昭和町１丁目,139.753846,35.74683,,,0,1131902
1131903,1131903,赤羽,,,11319,13,115-0045,北区赤羽１丁目,139.720928,35.778026,,,0,1131903
1132001,1130220,上野,,,11320,13,110-0005,東京都台東区上野七丁目1-1,139.777043,35.71379,,,0,1132001
1132002,1130218,日暮里,,,11320,13,116-0013,東京都荒川区西日暮里二丁目,139.771287,35.727908,,,0,1132002
1132003,1132003,三河島,,,11320,13,116-0013,荒川区西日暮里１丁目,139.777131,35.733383,,,0,1132003
1132004,1132004,南千住,,,11320,13,116-0003,荒川区南千住４丁目,139.7994,35.734033,,,0,1132004
1132005,1132005,北千住,,,11320,13,120-0026,足立区千住旭町,139.804872,35.749677,,,0,1132005
1132006,1132006,綾瀬,,,11320,13,120-0005,足立区綾瀬３丁目,139.825019,35.762222,,,0,1132006
1132007,1132007,亀有,,,11320,13,125-0061,葛飾区亀有３,139.847573,35.766527,,,0,1132007
1132008,1132008,金町,,,11320,13,125-0042,葛飾区金町６丁目,139.870482,35.769582,,,0,1132008
1132009,1132009,松戸,,,11320,12,271-0092,松戸市松戸,139.900779,35.784472,,,0,1132009
1132010,1132010,北松戸,,,11320,12,271-0064,松戸市上本郷,139.911528,35.800459,,,0,1132010
1132011,1132011,馬橋,,,11320,12,271-0051,松戸市馬橋,139.917305,35.811682,,,0,1132011
1132012,1130519,新松戸,,,11320,12,270-0017,松戸市幸谷,139.921076,35.825467,,,0,1132012
1132013,1132013,北小金,,,11320,12,270-0014,松戸市小金,139.931303,35.833436,,,0,1132013
1132014,1132014,南柏,,,11320,12,277-0855,柏市南柏１,139.954111,35.844655,,,0,1132014
1132015,1132015,柏,,,11320,12,277-0005,柏市柏１,139.971148,35.862316,,,0,1132015
1132016,1132016,北柏,,,11320,12,277-0831,柏市大字根戸,139.988035,35.875623,,,0,1132016
1132017,1132017,我孫子,,,11320,12,270-1151,我孫子市本町２丁目,140.010466,35.87279,,,0,1132017
1132018,1132018,天王台,,,11320,12,270-1176,我孫子市柴崎台１,140.04121,35.872558,,,0,1132018
1132101,1130201,大崎,,,11321,13,141-0032,東京都品川区大崎一丁目21-4,139.728439,35.619772,,,0,1132101
1132102,1130204,恵比寿,,,11321,13,151-0022,東京都渋谷区恵比寿南一丁目5-5,139.71007,35.646685,,,0,1132102
1132103,1130205,渋谷,,,11321,13,150-0043,東京都渋谷区道玄坂一丁目1-1,139.701238,35.658871,,,0,1132103
1132104,1130208,新宿,,,11321,13,160-0022,東京都新宿区新宿三丁目38-1,139.700464,35.689729,,,0,1132104
1132105,1130212,池袋,,,11321,13,170-0000,東京都豊島区,139.711086,35.730256,,,0,1132105
1132106,1132106,板橋,,,11321,13,173-0004,板橋区板橋１丁目,139.719507,35.745435,,,0,1132106
1132107,1132107,十条,,,11321,13,114-0034,北区上十条１丁目,139.722233,35.760321,,,0,1132107
1132108,1131903,赤羽,,,11321,13,115-0045,北区赤羽１丁目,139.720928,35.778026,,,0,1132108
1132109,1132109,北赤羽,,,11321,13,115-0052,北区赤羽北２丁目,139.70569,35.787007,,,0,1132109
1132110,1132110,浮間舟渡,,,11321,13,115-0051,北区浮間４丁目,139.691341,35.791209,,,0,1132110
1132301,1130220,上野,,,11323,13,,東京都台東区上野七丁目1-1,139.777043,35.71379,,,0,1132301
1132302,1131902,尾久,,,11323,13,114-0011,北区昭和町１丁目,139.753846,35.74683,,,0,1132302
1132303,1131903,赤羽,,,11323,13,115-0045,北区赤羽１丁目,139.720928,35.778026,,,0,1132303
1132401,1131339,千葉,,,11324,12,260-0031,千葉市中央区新千葉１丁目,140.112837,35.613425,,,0,1132401
1132402,1132402,本千葉,,,11324,12,260-0854,千葉市中央区長洲町１丁目,140.120987,35.601202,,,0,1132402
1132403,1132403,蘇我,,,11324,12,260-0834,千葉市中央区今井２丁目,140.130767,35.582065,,,0,1132403
1132404,1132404,鎌取,,,11324,12,266-0011,千葉市緑区鎌取町,140.178583,35.562795,,,0,1132404
1132405,1132405,誉田,,,11324,12,266-0005,千葉市緑区誉田町２丁目,140.213748,35.546996,,,0,1132405
1132406,1132406,土気,,,11324,12,267-0061,千葉市緑区土気町,140.269783,35.530866,,,0,1132406
1132407,1132407,大網,,,11324,12,299-3244,山武郡大網白里町南玉,140.311111,35.522427,,,0,1132407
1132408,1132408,永田,,,11324,12,299-3233,山武郡大網白里町永田,140.311162,35.503129,,,0,1132408
1132409,1132409,本納,,,11324,12,299-4114,茂原市本納,140.30758,35.48227,,,0,1132409
1132410,1132410,新茂原,,,11324,12,297-0073,茂原市長尾,140.29983,35.449477,,,0,1132410
1132411,1132411,茂原,,,11324,12,297-0022,茂原市町保,140.304121,35.426733,,,0,1132411
1132412,1132412,八積,,,11324,12,299-4336,長生郡長生村岩沼,140.345367,35.403971,,,0,1132412
1132413,1132413,上総一ノ宮,,,11324,12,299-4301,長生郡一宮町一宮,140.365138,35.373401,,,0,1132413
1132414,1132414,東浪見,,,11324,12,299-4303,長生郡一宮町東浪見,140.376706,35.34669,,,0,1132414
1132415,1132415,太東,,,11324,12,299-4501,いすみ市岬町椎木,140.381184,35.319942,,,0,1132415
1132416,1132416,長者町,,,11324,12,299-4616,いすみ市岬町長者,140.385021,35.295839,,,0,1132416
1132417,1132417,三門,,,11324,12,298-0002,いすみ市日在,140.391567,35.282377,,,0,1132417
1132418,1132418,大原,,,11324,12,298-0004,いすみ市大原,140.390864,35.251097,,,0,1132418
1132419,1132419,浪花,,,11324,12,298-0012,いすみ市小沢,140.379428,35.222674,,,0,1132419
1132420,1132420,御宿,,,11324,12,299-5106,夷隅郡御宿町須賀,140.35197,35.188028,,,0,1132420
1132421,1132421,勝浦,,,11324,12,299-5225,勝浦市墨名,140.312142,35.152722,,,0,1132421
1132422,1132422,鵜原,,,11324,12,299-5243,勝浦市鵜原,140.278446,35.140828,,,0,1132422
1132423,1132423,上総興津,,,11324,12,299-5245,勝浦市興津,140.250487,35.137146,,,0,1132423
1132424,1132424,行川アイランド,,,11324,12,299-5255,勝浦市浜行川,140.226962,35.11832,,,0,1132424
1132425,1132425,安房小湊,,,11324,12,299-5502,鴨川市内浦,140.190337,35.128597,,,0,1132425
1132426,1132426,安房天津,,,11324,12,299-5503,鴨川市天津,140.154487,35.125473,,,0,1132426
1132427,1132427,安房鴨川,,,11324,12,296-0001,鴨川市横渚,140.103566,35.107465,,,0,1132427
1132501,1131339,千葉,,,11325,12,260-0031,千葉市中央区新千葉１丁目,140.112837,35.613425,,,0,1132501
1132502,1132402,本千葉,,,11325,12,260-0854,千葉市中央区長洲町１丁目,140.120987,35.601202,,,0,1132502
1132503,1132403,蘇我,,,11325,12,260-0834,千葉市中央区今井２丁目,140.130767,35.582065,,,0,1132503
1132504,1132504,浜野,,,11325,12,260-0825,千葉市中央区村田町,140.132089,35.551876,,,0,1132504
1132505,1132505,八幡宿,,,11325,12,290-0062,市原市八幡,140.120072,35.536189,,,0,1132505
1132506,1132506,五井,,,11325,12,290-0056,市原市五井,140.089522,35.512985,,,0,1132506
1132507,1132507,姉ケ崎,,,11325,12,-,千葉県市原市姉崎528-2,140.041749,35.4786,,,0,1132507
1132508,1132508,長浦,,,11325,12,299-0243,袖ケ浦市蔵波,139.995478,35.450234,,,0,1132508
1132509,1132509,袖ケ浦,,,11325,12,-,千葉県袖ケ浦市奈良輪1198,139.95788,35.431997,,,0,1132509
1132510,1132510,巌根,,,11325,12,292-0061,木更津市岩根３丁目,139.933229,35.414285,,,0,1132510
1132511,1132511,木更津,,,11325,12,292-0831,木更津市富士見１丁目,139.92611,35.381668,,,0,1132511
1132512,1132512,君津,,,11325,12,299-1144,君津市東坂田１丁目,139.895697,35.333619,,,0,1132512
1132513,1132513,青堀,,,11325,12,293-0001,富津市大堀,139.858189,35.330304,,,0,1132513
1132514,1132514,大貫,,,11325,12,293-0036,富津市千種新田,139.855541,35.291661,,,0,1132514
1132515,1132515,佐貫町,,,11325,12,293-0057,富津市亀田,139.876106,35.260113,,,0,1132515
1132516,1132516,上総湊,,,11325,12,299-1607,富津市湊,139.871016,35.221855,,,0,1132516
1132517,1132517,竹岡,,,11325,12,299-1622,富津市萩生,139.830159,35.197582,,,0,1132517
1132518,1132518,浜金谷,,,11325,12,299-1861,富津市金谷,139.822141,35.168215,,,0,1132518
1132519,1132519,保田,,,11325,12,299-1902,安房郡鋸南町保田,139.838114,35.141480,,,0,1132519
1132520,1132520,安房勝山,,,11325,12,299-2118,安房郡鋸南町竜島,139.83339,35.114022,,,0,1132520
1132521,1132521,岩井,,,11325,12,299-2226,南房総市市部,139.849839,35.093062,,,0,1132521
1132522,1132522,富浦,,,11325,12,299-2403,南房総市富浦町原岡,139.837811,35.046140,,,0,1132522
1132523,1132523,那古船形,,,11325,12,294-0056,館山市船形,139.851388,35.028987,,,0,1132523
1132524,1132524,館山,,,11325,12,294-0045,館山市北条,139.861888,34.9959,,,0,1132524
1132525,1132525,九重,,,11325,12,294-0011,館山市二子,139.911383,34.99752,,,0,1132525
1132526,1132526,千倉,,,11325,12,295-0004,南房総市千倉町瀬戸,139.954738,34.976704,,,0,1132526
1132527,1132527,千歳,,,11325,12,295-0003,南房総市千倉町白子,139.966378,34.991701,,,0,1132527
1132528,1132528,南三原,,,11325,12,299-2713,南房総市和田町松田,139.979204,35.021065,,,0,1132528
1132529,1132529,和田浦,,,11325,12,299-2703,南房総市和田町仁我浦,140.019569,35.041885,,,0,1132529
1132530,1132530,江見,,,11325,12,299-2841,鴨川市西江見,140.061026,35.062513,,,0,1132530
1132531,1132531,太海,,,11325,12,296-0000,鴨川市太海,140.096229,35.081435,,,0,1132531
1132532,1132427,安房鴨川,,,11325,12,296-0001,鴨川市横渚,140.103566,35.107465,,,0,1132532
1132601,1130101,東京,,,11326,13,-,東京都千代田区丸の内一丁目,139.766103,35.681391,,,0,1132601
